VEHICLE,DATABASE ENTRY,HASH ID
Base Game,,
Aston Martin One-77 - Signature Edition,ast_one_77_10_pp_rival_1,27 55 4E A2
Aston Martin One-77 ,ast_one_77_10_pp_stock_1,1D ED 2C 8C
Aston Martin One-77 ,ast_one_77_10_pp_stock_2,6C 6B 1C 63
Aston Martin One-77 ,ast_one_77_10_pp_stock_3,62 50 A4 0D
Aston Martin One-77 ,ast_one_77_10_pp_stock_4,85 D9 11 75
Aston Martin One-77,ast_one_77_10_pp_stock_5,14 B6 BF 8B
Aston Martin One-77,ast_one_77_10_pp_stock_6,F2 CF 15 7F
Aston Martin One-77,ast_one_77_10_pp_stock_7,9A E6 E2 55
Aston Martin One-77 ,ast_one_77_10_pp_stock_8,C2 FF C4 20
Aston Martin One-77 - Style Pack 1,ast_one_77_10_pp1v1,8A F8 92 24
Aston Martin One-77 - Style Pack 1,ast_one_77_10_pp1v2,B9 A0 75 30
Aston Martin One-77 - Style Pack 1,ast_one_77_10_pp1v3,0E AB D1 CB
Aston Martin One-77 - Style Pack 1,ast_one_77_10_pp1v4,BE EC B2 92
Aston Martin One-77 - Style Pack 1,ast_one_77_10_pp1v5,D4 38 22 45
Aston Martin One-77 - Style Pack 1,ast_one_77_10_pp1v6,44 49 24 6B
Aston Martin One-77 - Style Pack 1,ast_one_77_10_pp1v7,21 FC 99 9A
Aston Martin One-77 - Style Pack 1,ast_one_77_10_pp1v8,B6 F2 3F E1
Aston Martin One-77 - Aero Pack,ast_one_77_10_pp2v1,38 60 CE A7
Aston Martin One-77 - Aero Pack,ast_one_77_10_pp2v2,9C 2B 1A 5F
Aston Martin One-77 - Aero Pack,ast_one_77_10_pp2v3,07 ED 4E A3
Aston Martin One-77 - Aero Pack,ast_one_77_10_pp2v4,3E F6 00 DD
Aston Martin One-77 - Aero Pack,ast_one_77_10_pp2v5,AB 16 91 2E
Aston Martin One-77 - Aero Pack,ast_one_77_10_pp2v6,2D 7E 2E 20
Aston Martin One-77 - Aero Pack,ast_one_77_10_pp2v7,34 5E 7B DA
Aston Martin One-77 - Aero Pack,ast_one_77_10_pp2v8,9E 52 EF 13
Aston Martin V12 Vantage,ast_van_v12_10_pp_stock_1,3E 3E 59 AA
Aston Martin V12 Vantage,ast_van_v12_10_pp_stock_2,A0 9D F4 3E
Aston Martin V12 Vantage,ast_van_v12_10_pp_stock_3,10 6B 3F 30
Aston Martin V12 Vantage,ast_van_v12_10_pp_stock_4,F3 27 D8 E1
Aston Martin V12 Vantage,ast_van_v12_10_pp_stock_5,BA 49 97 2C
Aston Martin V12 Vantage,ast_van_v12_10_pp_stock_6,9F B0 93 FC
Aston Martin V12 Vantage,ast_van_v12_10_pp_stock_7,BB 89 35 D9
Aston Martin V12 Vantage,ast_van_v12_10_pp_stock_8,10 7D 35 C6
Aston Martin V12 Vantage - Style Pack 1,ast_van_v12_10_pp1v1,8A 4B 1B 48
Aston Martin V12 Vantage - Style Pack 1,ast_van_v12_10_pp1v2,79 1C 50 09
Aston Martin V12 Vantage - Style Pack 1,ast_van_v12_10_pp1v3,BB B9 86 B0
Aston Martin V12 Vantage - Style Pack 1,ast_van_v12_10_pp1v4,0F 51 B5 24
Aston Martin V12 Vantage - Style Pack 1,ast_van_v12_10_pp1v5,6E 4B 31 D2
Aston Martin V12 Vantage - Style Pack 1,ast_van_v12_10_pp1v6,F3 B1 AC 73
Aston Martin V12 Vantage - Style Pack 1,ast_van_v12_10_pp1v7,B4 CE B3 71
Aston Martin V12 Vantage - Style Pack 1,ast_van_v12_10_pp1v8,7A 3B ED 1C
Aston Martin V12 Vantage - Racer Pack,ast_van_v12_10_pp2v1,07 85 F1 9D
Aston Martin V12 Vantage - Racer Pack,ast_van_v12_10_pp2v2,32 6D 5B A3
Aston Martin V12 Vantage - Racer Pack,ast_van_v12_10_pp2v3,B5 4F 5C C1
Aston Martin V12 Vantage - Racer Pack,ast_van_v12_10_pp2v4,C5 BB 52 13
Aston Martin V12 Vantage - Racer Pack,ast_van_v12_10_pp2v5,F2 CC E5 B6
Aston Martin V12 Vantage - Racer Pack,ast_van_v12_10_pp2v6,47 F6 57 97
Aston Martin V12 Vantage - Racer Pack,ast_van_v12_10_pp2v7,8F 30 52 40
Aston Martin V12 Vantage - Racer Pack,ast_van_v12_10_pp2v8,98 90 A3 ED
Audi R8 V10 5.2 FSI quattro - NFS Edition,aud_r8_v10_10_nfs_e,CE D5 A7 B6
Audi R8 V10 5.2 FSI quattro - NFS Edition,aud_r8_v10_10_pp_run,0D 36 44 40
Audi R8 V10 5.2 FSI quattro,aud_r8_v10_10_pp_stock_1,81 ED 93 0D
Audi R8 V10 5.2 FSI quattro,aud_r8_v10_10_pp_stock_2,07 DE E6 42
Audi R8 V10 5.2 FSI quattro,aud_r8_v10_10_pp_stock_3,6A FA 11 B9
Audi R8 V10 5.2 FSI quattro,aud_r8_v10_10_pp_stock_4,AB FF 3B FF
Audi R8 V10 5.2 FSI quattro,aud_r8_v10_10_pp_stock_5,D9 0B 6F D4
Audi R8 V10 5.2 FSI quattro,aud_r8_v10_10_pp_stock_6,E9 2B 2D B3
Audi R8 V10 5.2 FSI quattro,aud_r8_v10_10_pp_stock_7,29 89 AE E7
Audi R8 V10 5.2 FSI quattro,aud_r8_v10_10_pp_stock_8,82 04 4F 60
Audi R8 V10 5.2 FSI quattro - Style Pack 1,aud_r8_v10_10_pp1v1,E5 A9 F2 BB
Audi R8 V10 5.2 FSI quattro - Style Pack 1,aud_r8_v10_10_pp1v2,A4 70 82 89
Audi R8 V10 5.2 FSI quattro - Style Pack 1,aud_r8_v10_10_pp1v3,24 C1 C5 1D
Audi R8 V10 5.2 FSI quattro - Style Pack 1,aud_r8_v10_10_pp1v4,0F 3D D9 7A
Audi R8 V10 5.2 FSI quattro - Style Pack 1,aud_r8_v10_10_pp1v5,D8 34 0A 81
Audi R8 V10 5.2 FSI quattro - Style Pack 1,aud_r8_v10_10_pp1v6,23 05 23 8C
Audi R8 V10 5.2 FSI quattro - Style Pack 1,aud_r8_v10_10_pp1v7,DB 8F 3C DB
Audi R8 V10 5.2 FSI quattro - Style Pack 1,aud_r8_v10_10_pp1v8,56 A0 E8 B0
Audi R8 V10 5.2 FSI quattro - Racer Pack,aud_r8_v10_10_pp2v1,C1 94 EE EA
Audi R8 V10 5.2 FSI quattro - Racer Pack,aud_r8_v10_10_pp2v2,C6 8B 67 38
Audi R8 V10 5.2 FSI quattro - Racer Pack,aud_r8_v10_10_pp2v3,5E AC D9 B8
Audi R8 V10 5.2 FSI quattro - Racer Pack,aud_r8_v10_10_pp2v4,A1 C9 93 66
Audi R8 V10 5.2 FSI quattro - Racer Pack,aud_r8_v10_10_pp2v5,71 BF B9 CD
Audi R8 V10 5.2 FSI quattro - Racer Pack,aud_r8_v10_10_pp2v6,C9 85 6D C0
Audi R8 V10 5.2 FSI quattro - Racer Pack,aud_r8_v10_10_pp2v7,90 79 DF 51
Audi R8 V10 5.2 FSI quattro - Racer Pack,aud_r8_v10_10_pp2v8,0F 8C A0 5D
Audi R8 V10 5.2 FSI quattro - Signature Edition,aud_r8_v10_10_presale_1,90 0D 65 44
Audi RS4 - NFS Edition,aud_rs4_stk_08_nfs_e,54 BD C2 19
Audi RS4,aud_rs4_stk_08_pp_stock_1,CC DC E0 48
Audi Quattro 20V - NFS Edition,aud_ur_qua_91_pp_run,A2 CC 04 1C
Audi Quattro 20V,aud_ur_qua_91_pp_stock_1,5B 94 2C 95
Audi Quattro 20V,aud_ur_qua_91_pp_stock_2,0D 97 2F B7
Audi Quattro 20V,aud_ur_qua_91_pp_stock_3,F9 82 91 08
Audi Quattro 20V,aud_ur_qua_91_pp_stock_4,99 F3 DC FB
Audi Quattro 20V,aud_ur_qua_91_pp_stock_5,CE 9F E4 2E
Audi Quattro 20V,aud_ur_qua_91_pp_stock_6,FB 64 18 3A
Audi Quattro 20V,aud_ur_qua_91_pp_stock_7,E0 DF D8 3F
Audi Quattro 20V,aud_ur_qua_91_pp_stock_8,8D 9F C4 5E
Audi Quattro 20V - Style Pack 1,aud_ur_qua_91_pp1v1,47 DD 75 CC
Audi Quattro 20V - Style Pack 1,aud_ur_qua_91_pp1v2,FA 92 50 1F
Audi Quattro 20V - Style Pack 1,aud_ur_qua_91_pp1v3,C5 38 5A 90
Audi Quattro 20V - Style Pack 1,aud_ur_qua_91_pp1v4,02 F3 EC D8
Audi Quattro 20V - Style Pack 1,aud_ur_qua_91_pp1v5,DF E7 04 CD
Audi Quattro 20V - Style Pack 1,aud_ur_qua_91_pp1v6,06 78 AE 55
Audi Quattro 20V - Style Pack 1,aud_ur_qua_91_pp1v7,E4 90 88 83
Audi Quattro 20V - Style Pack 1,aud_ur_qua_91_pp1v8,AD 27 ED 13
Audi Quattro 20V - Rally Pack,aud_ur_qua_91_pp2v1,84 10 16 68
Audi Quattro 20V - Rally Pack,aud_ur_qua_91_pp2v2,D1 22 19 71
Audi Quattro 20V - Rally Pack,aud_ur_qua_91_pp2v3,38 7D 7C 55
Audi Quattro 20V - Rally Pack,aud_ur_qua_91_pp2v4,29 BF A9 AE
Audi Quattro 20V - Rally Pack,aud_ur_qua_91_pp2v5,13 8E 04 D0
