hash_dec	hash_le	db_entry	name	perf_le
2890557822	7E 69 4A AC	300_mph_test_car	Nissan GT-R (R35) SpecV	7E 69 4A AC
28692514	22 D0 B5 01	ALF_8C_COM_09_NFS_E	Alfa Romeo 8C Competizione - NFS Edition	01 B5 D0 22
1129288831	7F 94 4F 43	ALF_8C_COM_09_PP1V1	Alfa Romeo 8C Competizione - Circuit Racer Pack	01 6B F2 A4
2749721523	B3 6B E5 A3	ALF_8C_COM_09_PP1V2	Alfa Romeo 8C Competizione - Circuit Racer Pack	01 6B F2 A4
1577402451	53 40 05 5E	ALF_8C_COM_09_PP1V3	Alfa Romeo 8C Competizione - Circuit Racer Pack	01 6B F2 A4
2931269889	01 A1 B7 AE	ALF_8C_COM_09_PP1V4	Alfa Romeo 8C Competizione - Circuit Racer Pack	01 6B F2 A4
545725305	79 1B 87 20	ALF_8C_COM_09_PP1V5	Alfa Romeo 8C Competizione - Circuit Racer Pack	01 6B F2 A4
1401710848	00 69 8C 53	ALF_8C_COM_09_PP1V6	Alfa Romeo 8C Competizione - Circuit Racer Pack	01 6B F2 A4
377796986	7A B9 84 16	ALF_8C_COM_09_PP_RARE	Alfa Romeo 8C Competizione - Signature Edition	16 84 B9 7A
3176329263	2F F0 52 BD	ALF_8C_COM_09_PP_STOCK_1	Alfa Romeo 8C Competizione	00 00 00 00
1161332968	E8 88 38 45	ALF_8C_COM_09_PP_STOCK_2	Alfa Romeo 8C Competizione	00 00 00 00
1353908376	98 00 B3 50	ALF_8C_COM_09_PP_STOCK_3	Alfa Romeo 8C Competizione	00 00 00 00
554637414	66 18 0F 21	ALF_8C_COM_09_PP_STOCK_4	Alfa Romeo 8C Competizione	00 00 00 00
4291003338	CA 83 C3 FF	ALF_8C_COM_09_PP_STOCK_5	Alfa Romeo 8C Competizione	00 00 00 00
343428854	F6 4E 78 14	ALF_8C_COM_09_PP_STOCK_6	Alfa Romeo 8C Competizione	00 00 00 00
1416749643	4B E2 71 54	AST_VAN_V12_10_PP_RARE_1	Aston Martin V12 Vantage "Lightweight"	12 BB 56 EA
1759326234	1A 30 DD 68	AUD_UR_QUA_91_PP_RARE_1	Audi Quattro 20V "Hill Climber"	60 AE C4 35
1772937300	54 E0 AC 69	DOD_CHA_RT_71_PP_RARE_1	Dodge Challenger R/T "Vanish"	4A 1D 27 A9
608140496	D0 7C 3F 24	DOD_CHA_SRT_08_PP_RARE_1	Dodge Challenger SRT8 "Sinister"	8D 07 67 13
2661219538	D2 FC 9E 9E	LAM_DIA_SV_95_NFS_E	Lamborghini Diablo SV - NFS Edition	9E 9E FC D2
2511964166	06 88 B9 95	LAM_DIA_SV_95_PP1V1	Lamborghini Diablo SV - Retro Racer Pack	73 1D E0 8B
613055054	4E 7A 8A 24	LAM_DIA_SV_95_PP1V2	Lamborghini Diablo SV - Retro Racer Pack	73 1D E0 8B
2214461355	AB FF FD 83	LAM_DIA_SV_95_PP1V3	Lamborghini Diablo SV - Retro Racer Pack	73 1D E0 8B
338656460	CC 7C 2F 14	LAM_DIA_SV_95_PP1V4	Lamborghini Diablo SV - Retro Racer Pack	73 1D E0 8B
1623173271	97 A8 BF 60	LAM_DIA_SV_95_PP1V5	Lamborghini Diablo SV - Retro Racer Pack	73 1D E0 8B
544110450	72 77 6E 20	LAM_DIA_SV_95_PP1V6	Lamborghini Diablo SV - Retro Racer Pack	73 1D E0 8B
3291984553	A9 B2 37 C4	LAM_DIA_SV_95_PP_RARE	Lamborghini Diablo SV - Signature Edition	C4 37 B2 A9
2722472739	23 A3 45 A2	LAM_DIA_SV_95_PP_STOCK_1	Lamborghini Diablo SV	00 00 00 00
800769028	04 C4 BA 2F	LAM_DIA_SV_95_PP_STOCK_2	Lamborghini Diablo SV	00 00 00 00
599248535	97 CE B7 23	LAM_DIA_SV_95_PP_STOCK_3	Lamborghini Diablo SV	00 00 00 00
1644549584	D0 D5 05 62	LAM_DIA_SV_95_PP_STOCK_4	Lamborghini Diablo SV	00 00 00 00
2239689878	96 F4 7E 85	LAM_DIA_SV_95_PP_STOCK_5	Lamborghini Diablo SV	00 00 00 00
2320388560	D0 51 4E 8A	LAM_DIA_SV_95_PP_STOCK_6	Lamborghini Diablo SV	00 00 00 00
281475891	33 FB C6 10	LAM_GAL_SPL_10_PP1V1	Lamborghini Gallardo LP 570-4 Superleggera - Style Pack 1	F7 9A 64 92
1108682138	9A 25 15 42	LAM_GAL_SPL_10_PP1V2	Lamborghini Gallardo LP 570-4 Superleggera - Style Pack 1	F7 9A 64 92
728579066	FA 3B 6D 2B	LAM_GAL_SPL_10_PP1V3	Lamborghini Gallardo LP 570-4 Superleggera - Style Pack 1	F7 9A 64 92
3602581778	12 09 BB D6	LAM_GAL_SPL_10_PP1V4	Lamborghini Gallardo LP 570-4 Superleggera - Style Pack 1	F7 9A 64 92
1602259902	BE 8B 80 5F	LAM_GAL_SPL_10_PP1V5	Lamborghini Gallardo LP 570-4 Superleggera - Style Pack 1	F7 9A 64 92
1773539923	53 12 B6 69	LAM_GAL_SPL_10_PP1V6	Lamborghini Gallardo LP 570-4 Superleggera - Style Pack 1	F7 9A 64 92
385809801	89 FD FE 16	LAM_GAL_SPL_10_PP_RARE	Lamborghini Gallardo LP 570-4 Superleggera - Signature Edition	6E 3B 03 25
3325697983	BF 1F 3A C6	LAM_GAL_SPL_10_PP_STOCK_1	Lamborghini Gallardo LP 570-4 Superleggera	00 00 00 00
655383902	5E 5D 10 27	LAM_GAL_SPL_10_PP_STOCK_2	Lamborghini Gallardo LP 570-4 Superleggera	00 00 00 00
2270373248	80 25 53 87	LAM_GAL_SPL_10_PP_STOCK_3	Lamborghini Gallardo LP 570-4 Superleggera	00 00 00 00
4233634070	16 21 58 FC	LAM_GAL_SPL_10_PP_STOCK_4	Lamborghini Gallardo LP 570-4 Superleggera	00 00 00 00
703299843	03 81 EB 29	LAM_GAL_SPL_10_PP_STOCK_5	Lamborghini Gallardo LP 570-4 Superleggera	00 00 00 00
1429297837	AD 5A 31 55	LAM_GAL_SPL_10_PP_STOCK_6	Lamborghini Gallardo LP 570-4 Superleggera	00 00 00 00
3737631344	70 BA C7 DE	LAM_MIU_SV_71_RIVAL_1	Lamborghini Miura SV "Rival"	
1370591706	DA 91 B1 51	LAN_DEL_INT_93_NFS_E	Lancia Delta Integrale HF - NFS Edition	51 B1 91 DA
783102215	07 31 AD 2E	LAN_DEL_INT_93_PP1V1	Lancia Delta Integrale HF - Rally Pack	BD 3A 43 43
2045133884	3C 44 E6 79	LAN_DEL_INT_93_PP1V2	Lancia Delta Integrale HF - Rally Pack	BD 3A 43 43
4240299006	FE D3 BD FC	LAN_DEL_INT_93_PP1V3	Lancia Delta Integrale HF - Rally Pack	BD 3A 43 43
1485261437	7D 4A 87 58	LAN_DEL_INT_93_PP1V4	Lancia Delta Integrale HF - Rally Pack	BD 3A 43 43
1792607848	68 06 D9 6A	LAN_DEL_INT_93_PP1V5	Lancia Delta Integrale HF - Rally Pack	BD 3A 43 43
